ID;sex;pop;year
E83;NA;Cefalu;2020
E84;F;ScopelloNord;2020
E85;F;ScopelloNord;2020
E86;F;ScopelloNord;2020
E87;F;ScopelloNord;2020
E88;F;ScopelloNord;2020
E89;M;ScopelloNord;2020
E90;M;ScopelloNord;2020
E91;M;ScopelloNord;2020
E92;F;ScopelloNord;2020
E93;F;ScopelloNord;2020
E94;F;ScopelloNord;2020
E95;F;ScopelloNord;2020
E96;F;ScopelloNord;2020
E97;F;ScopelloNord;2020
E98;NA;ScopelloNord;2020
E99;F;ScopelloNord;2020
F01;M;ScopelloNord;2020
F02;F;ScopelloNord;2020
F03;F;ScopelloNord;2020
F04;F;ScopelloNord;2020
F05;F;ScopelloNord;2020
F06;M;ScopelloNord;2020
F07;M;ScopelloNord;2020
F08;M;ScopelloNord;2020
F09;M;ScopelloNord;2020
F10;F;ScopelloNord;2020
F11;NA;ScopelloNord;2020
F12;M;ScopelloNord;2020
F13;F;ScopelloNord;2020
F14;F;ScopelloNord;2020
F15;F;ScopelloNord;2020
F16;F;ScopelloNord;2020
F17;F;ScopelloNord;2020
F18;F;ScopelloNord;2020
F19;NA;ScopelloNord;2020
F20;NA;ScopelloNord;2020
F21;F;ScopelloNord;2020
F22;F;ScopelloNord;2020
F23;F;ScopelloNord;2020
F24;F;ScopelloNord;2020
F25;F;ScopelloNord;2020
F26;NA;ScopelloNord;2020
F27;M;ScopelloNord;2020
F28;M;ScopelloNord;2020
F29;F;ScopelloNord;2020
F30;F;ScopelloNord;2020
F31;F;ScopelloNord;2020
F32;F;ScopelloNord;2020
F33;F;ScopelloNord;2020
F34;M;ScopelloNord;2020
F35;M;ScopelloNord;2020
F36;M;ScopelloNord;2020
F37;NA;ScopelloNord;2020
F38;NA;ScopelloNord;2020
F39;F;ScopelloNord;2020
F40;M;ScopelloNord;2020
F41;F;ScopelloNord;2020
F42;M;ScopelloNord;2020
F43;NA;ScopelloNord;2020
F44;F;ScopelloNord;2020
F45;F;ScopelloNord;2020
F46;F;ScopelloNord;2020
F47;F;ScopelloNord;2020
F48;NA;ScopelloNord;2020
F49;F;ScopelloNord;2020
F50;NA;ScopelloNord;2020
F51;M;ScopelloNord;2020
F52;F;ScopelloNord;2020
F53;F;ScopelloNord;2020
F54;F;ScopelloNord;2020
F55;NA;Levanzo;2020
F56;NA;Levanzo;2020
F57;F;Vesuve;2020
F58;F;Vesuve;2020
F59;F;Vesuve;2020
F60;F;Vesuve;2020
F61;F;Vesuve;2020
F62;M;Vesuve;2020
F63;M;Vesuve;2020
F64;M;Vesuve;2020
F65;M;Vesuve;2020
F66;M;Vesuve;2020
F67;M;Vesuve;2020
F68;M;Vesuve;2020
F69;M;Vesuve;2020
F70;F;Vesuve;2020
